"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"97",2015-06-27,11,4,10,9,2,14,3,6,NA,2,6,3,0,2,11,1,12,5,"6","Saturday","06","June",2,"2015"
"98",2015-07-04,15,4,9,7,2,11,6,3,NA,0,9,2,0,3,11,2,9,5,"6","Saturday","07","July",3,"2015"
"99",2015-07-08,17,6,9,5,NA,19,6,2,NA,NA,6,NA,NA,NA,8,NA,7,13,"3","Wednesday","07","July",3,"2015"
"100",2015-07-09,17.3333333333333,8,5.66666666666667,5.33333333333333,1,14,3,1,NA,0.333333333333333,5.33333333333333,1,0.333333333333333,2,5,1.66666666666667,7.66666666666667,21.6666666666667,"4","Thursday","07","July",3,"2015"
"101",2015-07-13,18,4,7,6,2,14,3,1,NA,0,4,0,0,1,8,2,15,9,"1","Monday","07","July",3,"2015"
"102",2015-07-14,15,8,6,8,NA,11,NA,NA,NA,NA,5,NA,NA,NA,4,NA,17,16,"2","Tuesday","07","July",3,"2015"
"103",2015-07-16,24,4,7,6,2,12,3,0,NA,0,8,2,1,4,6,1,13,7,"4","Thursday","07","July",3,"2015"
"104",2015-07-17,22,4,6,8,NA,15,4,2,NA,NA,7,NA,NA,NA,5,NA,12,12,"5","Friday","07","July",3,"2015"
"105",2015-07-18,28,4,4,7,2,14,3,3,NA,2,3,1,0,2,5,1,13,8,"6","Saturday","07","July",3,"2015"
"106",2015-07-20,19,4,10,10,3,12,3,4,0,0,8,1,0,1,4,1,17,2,"1","Monday","07","July",3,"2015"
"107",2015-07-22,18,6,7,4,4,15,4,1,0,1,5,2,1,3,6,2,10,7,"3","Wednesday","07","July",3,"2015"
"108",2015-07-23,22,4.5,5.5,7,4.5,11.5,4,1,NA,1,5,1.5,1,1.5,4.5,1.5,11,NA,"4","Thursday","07","July",3,"2015"
"109",2015-07-25,27,3,5,6,4,11,4,2,NA,2,5,2,2,3,7,2,7,8,"6","Saturday","07","July",3,"2015"
